ID,Student ID,Mathematics,Literature,Subject combination,Physics/History,Chemistry/Geography,Biology/Civic education,Foreign language,Foreign language code
0,1000001,8.4,8.5,Society,6.75,6,9,9.2,N1
1,1000002,7.2,8.5,Society,8.75,6.5,8.5,9.2,N1
2,1000003,,6.5,Society,9.25,7.5,,,
3,1000004,7.8,8.25,Society,4.5,6.25,8.25,7.8,N1
4,1000005,7.2,8,Society,4.75,6.75,8.25,7.8,N1
5,1000006,7.6,9.25,Society,8.5,7.25,9.75,9,N1
6,1000007,5.6,7,Society,4.75,5.75,8,6.4,N1
8,1000009,7.6,8.25,Society,6.5,7.25,9.5,9,N1
9,1000010,8.2,9.5,Society,7.25,6.5,8.75,7,N1
10,1000011,5.6,7,Nature,5.75,3.5,4.5,8.4,N1
11,1000012,7.2,8.5,Society,8,7.75,8.25,8.4,N1
12,1000013,7.4,5.75,Nature,8,3.75,5.75,8,N1
13,1000014,7,4.5,Society,4.25,6.5,8.25,,
14,1000015,8.2,8.5,Nature,5.75,7.5,7.75,9.2,N1
15,1000016,8.2,8.75,Society,6.5,6.25,9.5,8.4,N1
16,1000017,7.4,7.75,Nature,3,6.5,6.75,6.6,N1
18,1000019,8.4,9,Society,8.25,7.25,8.5,9.4,N1
19,1000020,8.2,8.75,Society,8.75,9,9.75,7.2,N1
20,1000021,8.2,8.25,Society,5.75,6.5,8.25,7.8,N1
21,1000022,8,9.25,Society,6.5,6.5,9.25,9,N1
22,1000023,8.6,8.5,Society,8.75,7.5,8.75,9.8,N1
23,1000024,8.2,9,Society,8.75,7.25,9.25,9.6,N1
24,1000025,6.6,8.25,Society,6.25,6.5,8.25,8,N1
25,1000026,7.4,9,Society,5.25,6,8.5,8.8,N1
26,1000027,8,8,Nature,5,8,8,9.2,N1
27,1000028,8.2,9,Society,6.25,7.75,9.25,9.6,N1
28,1000029,2.8,6.75,Society,5.25,5.75,,,
29,1000030,7.2,8.75,Society,8,5.75,9,8.6,N1
30,1000031,5,6.5,Nature,5.5,5.25,4.75,3.2,N6
31,1000032,8.2,6.25,Nature,8.25,7.75,6.25,5.4,N1
32,1000033,7.2,8,Society,5,5.25,7,9,N1
33,1000034,7.6,9,Society,7,6.5,8.5,6.6,N1
35,1000036,7.8,7.75,Nature,6.25,6.5,6.5,5,N1
36,1000037,,8.5,Society,9.25,9.25,,,
37,1000038,7.8,8,Nature,7.75,7.25,7.75,9.2,N1
38,1000039,5.8,9.25,Society,6,7,9.25,,
39,1000040,7.2,8,Society,5.25,6.5,9,8.6,N1
40,1000041,8.6,7.75,Nature,6,8.5,8.75,9.4,N1
41,1000042,7.6,9.5,Society,6.75,5.25,8.25,7.4,N1
42,1000043,7,8,Society,7.25,5.25,8.25,7.6,N1
43,1000044,7.6,6.5,Nature,7.25,8.5,5.5,6.2,N1
44,1000045,3.8,7.5,Society,6.5,5.5,8.25,4.2,N1
45,1000046,7.8,4,Nature,6.75,7.5,6.5,9.4,N1
46,1000047,8.6,7,Nature,7.75,5.5,4,8.6,N1
47,1000048,5.4,8,Society,4,5.25,7,7.4,N1
48,1000049,7.8,8.75,Society,7.25,5.5,9,8,N1
49,1000050,8.6,8.5,Society,6.75,5.75,8.25,8.2,N1
50,1000051,8.6,8.75,Society,7.25,6.5,8.75,9.4,N1
51,1000052,7.4,9,Society,6.75,6.75,9,8.2,N1
52,1000053,8.2,8.5,Society,4.5,6.5,9.75,8.8,N1
53,1000054,,6.25,Society,5.75,6.25,,,
54,1000055,7,8.25,Society,8,7.5,9.75,7,N1
55,1000056,6,8,Society,6.75,5.25,8.25,7.4,N1
56,1000057,7.6,9.25,Society,6.25,6,9.25,9,N1
57,1000058,7.8,5.5,Nature,6.75,8,4.75,7.4,N1
58,1000059,8.2,8,Nature,6.75,5.5,8.25,8.8,N1
59,1000060,6,7.5,Society,5.5,5.5,6.5,8,N1
60,1000061,,6.75,Society,7.75,7.25,,,
61,1000062,6.4,4,Society,,,,5.4,N1
62,1000063,7.4,7.75,Nature,6.25,5,4.75,9,N1
63,1000064,7.8,7.75,Society,7,5,7.75,9.2,N1
65,1000066,7.2,6.5,Society,3.5,4,,,
66,1000067,8,9.5,Society,6.5,6.25,7.75,8.8,N1
67,1000068,8.4,9,Society,8.25,7.75,10,9.6,N4
68,1000069,7.6,9,Society,7.25,6.75,9.5,9.6,N1
69,1000070,8.6,8.5,Society,5.25,7.75,8.5,8.2,N1
70,1000071,8.2,9,Society,5.5,6.25,9,9,N7
71,1000072,7,5.5,Nature,7.25,4.75,6.5,9.8,N1
72,1000073,7.4,7.75,Society,6,7,8,5.6,N1
73,1000074,8,9,Society,6.25,5.75,7.75,8,N1
74,1000075,7.8,8.5,Nature,8,5.25,6,9.2,N1
75,1000076,8.2,8,Nature,7,8.5,8.25,8.6,N1
76,1000077,6.6,7.75,Society,5.75,5.5,7.25,6.2,N1
77,1000078,3.4,6.5,Society,4.25,6.25,,,
78,1000079,6,8.75,Society,8,6,8,6.8,N1
79,1000080,7.6,8.25,Nature,7.75,7.25,7.75,8.4,N1
80,1000081,7.6,8.75,Society,7.25,5.5,8.5,8.4,N1
81,1000082,9.2,8.75,Nature,7.75,7,8,9.2,N1
82,1000083,8.2,9,Society,7.75,7.75,9.5,9.6,N1
83,1000084,7.6,9.5,Society,7,6.5,8.5,8,N1
84,1000085,,5.5,Society,3,6,,,
85,1000086,,6,Society,7,6.25,,,
86,1000087,6.8,6.25,Society,4.25,5,8,7.6,N1
87,1000088,6.2,8.5,Society,,,,6.6,N4
88,1000089,8.2,8.75,Society,7.75,7,9.5,9.4,N1
89,1000090,7,8.5,Society,4.75,5.25,8.25,7,N1
90,1000091,6.6,8.5,Society,6.5,4.25,9,8.4,N1
91,1000092,7.8,8.5,Society,5.25,6.25,9,9,N1
93,1000094,7.6,9,Society,7.25,6.5,9.25,9.2,N1
94,1000095,8.2,9.5,Society,6.5,7,9,8.6,N1
95,1000096,8,9.25,Society,6,7.25,8.25,7.4,N1
96,1000097,8.4,8.25,Society,7.25,8,9.25,9.6,N1
97,1000098,8.2,9.25,Society,7.5,6.75,8.75,9.4,N1
98,1000099,8.6,9.5,Society,7,8,9.25,9.2,N1
99,1000100,7,9.25,Society,7,6.25,9.75,8.8,N1
100,1000101,6.6,8.25,Society,7.25,6.75,9.75,8,N1
101,1000102,6.8,9,Society,4.25,5.5,7.5,6.8,N1
102,1000103,8,9,Society,7.75,6.75,8.5,9,N1
104,1000105,7.6,8.5,Society,6,5.75,9.5,6.6,N1
105,1000106,4.4,6.5,Society,6.75,6.25,,,
106,1000107,6.8,8.25,Society,4.25,6.75,7.75,6.6,N1
107,1000108,7.6,8.5,Nature,6.75,8.25,5.5,8,N1
108,1000109,6.6,8.75,Society,4.5,6,9.25,5.8,N1
109,1000110,8.4,,Society,7.5,,,8,N1
110,1000111,3.6,4.5,Society,4.5,5.25,,,
111,1000112,7.4,9.25,Society,4.25,6,7.5,7.2,N1
112,1000113,8.2,6.5,Nature,7.5,8,6.25,6.8,N1
113,1000114,5.2,8.75,Society,8.25,7.5,8,7.2,N1
114,1000115,6.6,6.5,Society,3.5,5,7.75,7,N1
115,1000116,7.2,7.25,Nature,5,7,5.5,8,N1
116,1000117,3.4,7.75,Society,4.25,3.75,,,
117,1000118,6.6,8.5,Society,5.75,5.5,8.25,8.2,N1
118,1000119,6.8,8.75,Society,6,5,8,8.4,N1
119,1000120,7.6,9.5,Society,6.25,6.75,9,9.2,N1
120,1000121,7.4,9.25,Society,5,5.25,8.75,7.8,N1
121,1000122,5,7,Nature,5.5,3.5,5,3.8,N1
122,1000123,7.8,8.25,Nature,4.5,7.25,6,8,N1
123,1000124,7.8,6.25,Nature,8.25,4.75,6.75,8.2,N1
124,1000125,6.6,8.75,Society,6.5,7.5,8,9.4,N1
125,1000126,4.8,6.25,Society,5.75,6,,,
126,1000127,8.2,6.75,Nature,7.75,3.25,6.25,7.6,N1
127,1000128,6.8,7.5,Society,4.5,6,5.75,8.2,N1
128,1000129,7.8,8,Nature,6.75,7.25,8,9,N1
129,1000130,6.6,8.75,Society,6.5,6.75,9.25,,
130,1000131,8.4,9.25,Society,7.5,6.75,8.25,8.8,N1
131,1000132,6.6,8,Nature,7.5,5.5,5.25,7.6,N1
132,1000133,8.8,8.5,Society,5.25,6.75,8.75,8.2,N1
133,1000134,7,7.5,Nature,6.25,7.25,8,6.6,N1
134,1000135,8,8.5,Society,5.75,6.25,8.5,9.2,N1
135,1000136,7.8,8.5,Society,4.25,4.75,8,6.6,N1
136,1000137,7.8,8.25,Society,6.75,7,8.5,8,N1
137,1000138,7.4,8.25,Society,5,7.25,8.5,8.4,N1
138,1000139,8.2,8.5,Society,6.75,5,9.25,8,N1
139,1000140,8.2,7,Society,5.75,6.75,8,7.2,N1
140,1000141,8.4,8.25,Nature,8,6,5.75,8.8,N1
141,1000142,4.8,5,Society,4.25,6.25,,,
142,1000143,8,8.75,Society,4,5,8.5,9,N1
143,1000144,,6.5,Society,6.25,5,,,
144,1000145,7.2,8,Nature,7,3.75,6.25,8.4,N1
145,1000146,4,6,Society,2.75,4.75,,,
146,1000147,7.6,8.5,Society,7,7.5,9.25,9.4,N1
147,1000148,8.2,9,Society,7.5,7.75,9.5,9.2,N1
148,1000149,7.8,8.75,Society,4.25,5,8.25,8.4,N1
149,1000150,8,6.25,Nature,8.75,6.75,8.25,9.2,N1
150,1000151,8.4,9.25,Society,7.5,8.5,10,9.2,N1
151,1000152,8.4,7.25,Nature,7.5,5.75,5.25,9,N1
152,1000153,7.8,9,Society,6.75,6,7.5,8,N1
153,1000154,7.6,7.5,Nature,8,5.25,3.75,9,N1
154,1000155,6.6,8,Society,6.75,6,8.5,9,N1
155,1000156,8,7.25,Nature,6.5,5.75,6.25,7.8,N1
156,1000157,8.8,6.75,Society,6,8,8.5,,
157,1000158,4.4,7,Society,4.25,4.75,7.25,3.2,N1
158,1000159,8,8,Society,7.75,7.75,8,9.4,N1
159,1000160,7.8,7,Nature,9,9.5,6.5,8,N1
160,1000161,7.6,9.25,Society,7.25,7.25,9.25,8.6,N1
161,1000162,7.4,8.25,Society,3.75,4.5,8,7.6,N1
162,1000163,8,9.5,Society,7.75,7,9,9.2,N1
163,1000164,8.4,8.75,Society,8,7,9.25,9.6,N1
164,1000165,7.8,9.25,Society,7.75,7.5,9,9.2,N1
165,1000166,4.2,6.75,Society,4.25,6,7.25,6.4,N1
166,1000167,6,8.25,Society,5.25,5.5,8.25,8,N1
167,1000168,8.6,9.25,Society,8.25,7.25,9.25,9.6,N1
168,1000169,7.8,8,Society,4,5,6.75,6.8,N1
169,1000170,7.4,9,Society,8,6.5,9.75,6.4,N1
170,1000171,6.2,8.5,Society,6.5,4.75,8.75,5.4,N1
171,1000172,8.6,9,Society,7,6.25,8,9.4,N1
172,1000173,8.4,6.25,Nature,7,8.25,6,5,N1
173,1000174,7.2,7,Society,6.5,6.75,8.75,6,N1
174,1000175,8.2,8.25,Society,7.5,6.5,9.25,9,N1
175,1000176,6.4,7.75,Society,4.75,5.75,8,6,N1
176,1000177,8.8,8.75,Society,6,4.5,9.25,8.4,N1
177,1000178,8,9,Society,5,6.25,8,9.2,N1
178,1000179,8,7.75,Society,5.5,7,8.5,7,N1
179,1000180,8.2,7.75,Society,6.75,7,8.75,9,N1
180,1000181,5.2,7.5,Society,7,5.5,8.5,9.4,N1
181,1000182,9,8.75,Nature,8.75,6.5,7,9.2,N1
182,1000183,5.6,6,Society,6,4,,,
183,1000184,7.8,8,Society,6.75,6.5,8.5,8,N1
184,1000185,8.8,8.75,Nature,6,6.75,7.5,,
185,1000186,8.6,8.75,Nature,7.25,7.25,6,8.6,N1
186,1000187,7.2,5,Nature,5.25,2.5,5.5,5.6,N1
187,1000188,8.2,6.5,Nature,8.25,6.75,4.5,7,N1
188,1000189,8.6,8.75,Society,5.25,5.25,9.25,8.6,N1
189,1000190,7.4,8.25,Society,5.5,5.25,8,5.2,N1
190,1000191,8.2,6.25,Society,9,8.25,9,8.6,N1
191,1000192,7.6,6.75,Nature,8.25,4.5,6.75,7.6,N1
