Student ID,Mathematics,Literature,Foreign language,Foreign language code,Subject combination,Physics/History,Chemistry/Geography,Biology/Civic education
1000001,8.4,8.5,9.2,N1,Society,6.75,6,9
1000002,7.2,8.5,9.2,N1,Society,8.75,6.5,8.5
1000004,7.8,8.25,7.8,N1,Society,4.5,6.25,8.25
1000005,7.2,8,7.8,N1,Society,4.75,6.75,8.25
1000006,7.6,9.25,9,N1,Society,8.5,7.25,9.75
1000007,5.6,7,6.4,N1,Society,4.75,5.75,8
1000009,7.6,8.25,9,N1,Society,6.5,7.25,9.5
1000010,8.2,9.5,7,N1,Society,7.25,6.5,8.75
1000011,5.6,7,8.4,N1,Nature,5.75,3.5,4.5
1000012,7.2,8.5,8.4,N1,Society,8,7.75,8.25
1000013,7.4,5.75,8,N1,Nature,8,3.75,5.75
1000015,8.2,8.5,9.2,N1,Nature,5.75,7.5,7.75
1000016,8.2,8.75,8.4,N1,Society,6.5,6.25,9.5
1000017,7.4,7.75,6.6,N1,Nature,3,6.5,6.75
1000019,8.4,9,9.4,N1,Society,8.25,7.25,8.5
1000020,8.2,8.75,7.2,N1,Society,8.75,9,9.75
1000021,8.2,8.25,7.8,N1,Society,5.75,6.5,8.25
1000022,8,9.25,9,N1,Society,6.5,6.5,9.25
1000023,8.6,8.5,9.8,N1,Society,8.75,7.5,8.75
1000024,8.2,9,9.6,N1,Society,8.75,7.25,9.25
1000025,6.6,8.25,8,N1,Society,6.25,6.5,8.25
1000026,7.4,9,8.8,N1,Society,5.25,6,8.5
1000027,8,8,9.2,N1,Nature,5,8,8
1000028,8.2,9,9.6,N1,Society,6.25,7.75,9.25
1000030,7.2,8.75,8.6,N1,Society,8,5.75,9
1000031,5,6.5,3.2,N6,Nature,5.5,5.25,4.75
1000032,8.2,6.25,5.4,N1,Nature,8.25,7.75,6.25
1000033,7.2,8,9,N1,Society,5,5.25,7
1000034,7.6,9,6.6,N1,Society,7,6.5,8.5
1000036,7.8,7.75,5,N1,Nature,6.25,6.5,6.5
1000038,7.8,8,9.2,N1,Nature,7.75,7.25,7.75
1000040,7.2,8,8.6,N1,Society,5.25,6.5,9
1000041,8.6,7.75,9.4,N1,Nature,6,8.5,8.75
1000042,7.6,9.5,7.4,N1,Society,6.75,5.25,8.25
1000043,7,8,7.6,N1,Society,7.25,5.25,8.25
1000044,7.6,6.5,6.2,N1,Nature,7.25,8.5,5.5
1000047,8.6,7,8.6,N1,Nature,7.75,5.5,4
1000048,5.4,8,7.4,N1,Society,4,5.25,7
1000049,7.8,8.75,8,N1,Society,7.25,5.5,9
1000050,8.6,8.5,8.2,N1,Society,6.75,5.75,8.25
1000051,8.6,8.75,9.4,N1,Society,7.25,6.5,8.75
1000052,7.4,9,8.2,N1,Society,6.75,6.75,9
